number,E,n,K,YS,Pmax,Stiffness2,Slope1,Slope2,Slope3,Slope4,Slope5,30um,60um,90um,120um,150um
1854,96,0.165,830,355,0.017746,58530,4095.018134,4081.939291,3611.805362,3006.757934,2588.938598,109.3298758,233.5295518,349.6756823,448.8887385,531.9534392
1855,120,0.406,397,165,0.0187318,74127.05882,1648.704069,1600.013303,1410.814086,1187.593334,1036.83796,46.18163108,95.39677141,140.7773447,179.7054012,212.7575985
1856,127,0.385,1322,338,0.0108479,74392.35294,3999.667353,4140.476357,3846.711534,3418.841773,3157.335964,105.4967153,229.0608916,349.5795584,458.5225342,556.3737043
1857,186,0.246,1584,341,0.0139562,112305.8824,5656.435926,5701.462668,5126.105549,4418.488363,4066.734905,151.2175497,323.7471431,487.1014712,629.9908754,755.7694103
1858,161,0.371,798,552,0.0196422,97722.35294,4351.921119,4244.180249,3717.172975,3092.964881,2693.621549,119.6891883,250.0814569,370.1473393,472.1398273,557.97388
1859,86,0.434,1568,503,0.00834374,50274.11765,4436.985213,4769.050915,4553.352223,4143.683169,3893.837785,113.0928335,252.9950289,393.7582444,524.2564585,643.9774711
1860,60,0.167,1148,490,0.0102697,35194.11765,4618.202304,4946.25143,4671.206826,4150.134672,3740.101146,116.1524936,261.5733667,406.8966421,539.3855007,657.0151087
1861,182,0.377,1036,515,0.017205,113162.3529,4615.567267,4560.347819,4045.853908,3431.896492,3078.286526,126.1025384,265.3392145,395.1306629,507.095814,603.647927
1862,157,0.429,438,433,0.0249008,100920.3036,3075.837972,2888.75088,2442.73119,1960.205515,1663.600468,87.22843415,177.6226317,257.964161,323.8214434,377.4356984
1863,136,0.01,337,157,0.040482,90550.28463,2513.629388,2135.679998,1634.724965,1230.416384,1142.40635,74.99981942,145.3215394,201.9105629,244.3715019,278.8985314
1864,158,0.084,1077,468,0.02387,100049.4118,6264.582546,6011.520918,5055.622827,4062.797565,3698.954425,169.9744313,356.705461,523.6373217,659.6735589,773.6949968
1865,108,0.012,1039,163,0.026348,68748.23529,5258.108535,5061.643261,4232.199853,3319.502226,2873.274294,141.5195582,298.5854354,438.8883725,551.6848844,642.7232031
1866,93,0.12,946,265,0.0178209,56792.35294,4284.401974,4281.832541,3784.389953,3147.092375,2724.95797,113.8850638,244.0595371,365.8462847,469.7243843,556.8234588
1867,230,0.291,1220,440,0.0174413,142508.2353,5158.215361,5064.404677,4464.952193,3742.156293,3278.315366,141.5091133,296.5903914,440.316976,563.2540888,667.4359034
1868,124,0.494,436,558,0.0238188,78555.29412,3489.157722,3320.355188,2833.391966,2318.19611,2064.695674,97.08114032,200.3816457,293.1208447,370.1028373,434.8295654
1869,98,0.276,984,181,0.011717,58654.11765,3134.159525,3216.300275,2951.4697,2572.310996,2311.467361,83.0201433,179.4352726,272.5284466,355.3801734,428.0502572
1870,132,0.108,416,490,0.0296123,85282.35294,3992.942733,3667.666078,2970.120737,2322.127825,2145.50846,111.85588,228.2229603,328.1931579,406.9257288,472.2345628
1871,63,0.085,1192,228,0.0129265,37437.64706,4540.785099,4775.466098,4447.686761,3848.25905,3267.994926,116.140273,257.6537068,397.0436355,521.7984287,628.1308144
1872,240,0.39,1266,418,0.0153458,147880,4595.296959,4574.069269,4111.537726,3550.290303,3232.914968,125.6293642,264.7013523,395.6604819,510.4064571,611.116621
